descrição;data;lançamento;ag./origem;valor (R$);valor_convertido_saida (R$);valor_convertido_entrada (R$);REF;dt_pagto_bq;dt_custo_bq
salario;30/04/2020;TED 237.2846ANDRE N BARB;;10976,56;0;10976,56;01/04/2020;2020-04-01;2020-04-30
saldo;30/04/2020;APL APLIC AUT MAIS;;-8237,5;0;-8237,5;01/04/2020;2020-04-01;2020-04-30
saldo;30/04/2020;SALDO APLIC AUT MAIS;;8237,5;0;8237,5;01/04/2020;2020-04-01;2020-04-30
saldo;30/04/2020;SALDO FINAL;;10;0;10;01/04/2020;2020-04-01;2020-04-30
saldo;04/05/2020;SALDO INICIAL;;10;0;10;01/05/2020;2020-05-01;2020-05-04
compras;04/05/2020;RSHOP-LOJAS AMERI-03/05;5934;-45,94;45.94;0;01/05/2020;2020-05-01;2020-05-04
mercado;04/05/2020;RSHOP-MERCADINHO -03/05;5934;-20,99;20.99;0;01/05/2020;2020-05-01;2020-05-04
compras;04/05/2020;RSHOP-PAG*MarcosD-01/05;5934;-63,79;63.79;0;01/05/2020;2020-05-01;2020-05-04
gasolina;04/05/2020;RSHOP-POSTO AMMA -04/05;5934;-25;25;0;01/05/2020;2020-05-01;2020-05-04
compras;04/05/2020;RSHOP-STELO S A *-02/05;5934;-25;25;0;01/05/2020;2020-05-01;2020-05-04
poupança;04/05/2020;TBI 9293.22915-0/500;4175;-5000;5000;0;01/05/2020;2020-05-01;2020-05-04
banco;04/05/2020;RES APLIC AUT MAIS;;5180,71;0;5180,71;01/05/2020;2020-05-01;2020-05-04
saldo;04/05/2020;REND PAGO APLIC AUT MAIS;;0,01;0;0,01;01/05/2020;2020-05-01;2020-05-04
saldo;04/05/2020;SALDO APLIC AUT MAIS;;3056,79;0;3056,79;01/05/2020;2020-05-01;2020-05-04
boleto;05/05/2020;INT TED 033072610089869;4175;-700;700;0;01/05/2020;2020-05-01;2020-05-05
banco;05/05/2020;TAR PACOTE ITAU   ABR/20;9293;-76,9;76.9;0;01/05/2020;2020-05-01;2020-05-05
banco;05/05/2020;RES APLIC AUT MAIS;;776,9;0;776,9;01/05/2020;2020-05-01;2020-05-05
saldo;05/05/2020;SALDO APLIC AUT MAIS;;2279,89;0;2279,89;01/05/2020;2020-05-01;2020-05-05
saldo;06/05/2020;SALDO APLIC AUT MAIS;;2279,89;0;2279,89;01/05/2020;2020-05-01;2020-05-06
saque;07/05/2020;CXE     000406 SAQUE;9293;-100;100;0;01/05/2020;2020-05-01;2020-05-07
banco;07/05/2020;RES APLIC AUT MAIS;;100;0;100;01/05/2020;2020-05-01;2020-05-07
saldo;07/05/2020;SALDO APLIC AUT MAIS;;2179,89;0;2179,89;01/05/2020;2020-05-01;2020-05-07
mercado;08/05/2020;ELECTRONSONDA JACAN;9212;-35,86;35.86;0;01/05/2020;2020-05-01;2020-05-08
banco;08/05/2020;RES APLIC AUT MAIS;;35,86;0;35,86;01/05/2020;2020-05-01;2020-05-08
saldo;08/05/2020;SALDO APLIC AUT MAIS;;2144,03;0;2144,03;01/05/2020;2020-05-01;2020-05-08
alimentação;11/05/2020;ELECTRONADEGA DO AL;9212;-10;10;0;01/05/2020;2020-05-01;2020-05-11
compras;11/05/2020;ELECTRONARIANA DIAS;9212;-4;4;0;01/05/2020;2020-05-01;2020-05-11
padaria;11/05/2020;ELECTRONARIZONA PAE;9212;-21,4;21.4;0;01/05/2020;2020-05-01;2020-05-11
padaria;11/05/2020;ELECTRONARIZONA PAE;9212;-128,55;128.55;0;01/05/2020;2020-05-01;2020-05-11
compras;11/05/2020;ELECTRONCOM DE FRAN;9212;-40;40;0;01/05/2020;2020-05-01;2020-05-11
compras;11/05/2020;ELECTRONDRIVE DUMON;9212;-27,2;27.2;0;01/05/2020;2020-05-01;2020-05-11
compras;11/05/2020;ELECTRONMARIA LUCIA;9212;-24;24;0;01/05/2020;2020-05-01;2020-05-11
alimentação;11/05/2020;ELECTRONMOCOTO REST;9212;-102,6;102.6;0;01/05/2020;2020-05-01;2020-05-11
mercado;11/05/2020;ELECTRONSONDA TREME;9212;-104,37;104.37;0;01/05/2020;2020-05-01;2020-05-11
mercado;11/05/2020;ELECTRONSONDA TREME;9212;-135,18;135.18;0;01/05/2020;2020-05-01;2020-05-11
banco;11/05/2020;SEGURO CARTAO;9293;-6,61;6.61;0;01/05/2020;2020-05-01;2020-05-11
doação;11/05/2020;DEB AUTOR UNICEF;9293;-75;75;0;01/05/2020;2020-05-01;2020-05-11
banco;11/05/2020;RES APLIC AUT MAIS;;678,9;0;678,9;01/05/2020;2020-05-01;2020-05-11
saldo;11/05/2020;REND PAGO APLIC AUT MAIS;;0,01;0;0,01;01/05/2020;2020-05-01;2020-05-11
saldo;11/05/2020;SALDO APLIC AUT MAIS;;1465,13;0;1465,13;01/05/2020;2020-05-01;2020-05-11
gasolina;12/05/2020;ELECTRONAUTO POSTO;9212;-164,94;164.94;0;01/05/2020;2020-05-01;2020-05-12
banco;12/05/2020;RES APLIC AUT MAIS;;164,94;0;164,94;01/05/2020;2020-05-01;2020-05-12
saldo;12/05/2020;SALDO APLIC AUT MAIS;;1300,19;0;1300,19;01/05/2020;2020-05-01;2020-05-12
saque;13/05/2020;CXE     000026 SAQUE;6254;-20;20;0;01/05/2020;2020-05-01;2020-05-13
mercado;13/05/2020;ELECTRONSONDA TREME;9212;-170,97;170.97;0;01/05/2020;2020-05-01;2020-05-13
banco;13/05/2020;RES APLIC AUT MAIS;;190,97;0;190,97;01/05/2020;2020-05-01;2020-05-13
saldo;13/05/2020;SALDO APLIC AUT MAIS;;1109,22;0;1109,22;01/05/2020;2020-05-01;2020-05-13
celular;14/05/2020;INT NEXTEL 9599999726182;4175;-62,58;62.58;0;01/05/2020;2020-05-01;2020-05-14
celular;14/05/2020;INT NEXTEL 9899999726181;4175;-93,87;93.87;0;01/05/2020;2020-05-01;2020-05-14
compras;14/05/2020;ELECTRONLOJAS AMERI;9212;-50,96;50.96;0;01/05/2020;2020-05-01;2020-05-14
mercado;14/05/2020;ELECTRONSONDA TREME;9212;-93,2;93.2;0;01/05/2020;2020-05-01;2020-05-14
celular;14/05/2020;ELECTRONVG CELULARE;9212;-400;400;0;01/05/2020;2020-05-01;2020-05-14
banco;14/05/2020;RES APLIC AUT MAIS;;700,6;0;700,6;01/05/2020;2020-05-01;2020-05-14
saldo;14/05/2020;REND PAGO APLIC AUT MAIS;;0,01;0;0,01;01/05/2020;2020-05-01;2020-05-14
saldo;14/05/2020;SALDO APLIC AUT MAIS;;408,62;0;408,62;01/05/2020;2020-05-01;2020-05-14
alimentação;15/05/2020;ELECTRONADEGA DO AL;9212;-10;10;0;01/05/2020;2020-05-01;2020-05-15
padaria;15/05/2020;ELECTRONARIZONA PAE;9212;-34,36;34.36;0;01/05/2020;2020-05-01;2020-05-15
farmacia;15/05/2020;ELECTRONDROGARIA PR;9212;-37;37;0;01/05/2020;2020-05-01;2020-05-15
saldo;15/05/2020;SALDO PARCIAL;;-71,36;0;0;01/05/2020;2020-05-01;2020-05-15
saldo;15/05/2020;SALDO ANTERIOR;;-71,36;0;0;01/05/2020;2020-05-01;2020-05-15
alimentação;15/05/2020;ELECTRONHABIBS;9212;-47,7;47.7;0;01/05/2020;2020-05-01;2020-05-15
compras;15/05/2020;ELECTRONS KOMESU MA;9212;-8,75;8.75;0;01/05/2020;2020-05-01;2020-05-15
cartão credito;15/05/2020;INT ITAUCARD;4175;-3164,72;3164.72;0;01/05/2020;2020-05-01;2020-05-15
salario;15/05/2020;TED 237.2846ANDRE N BARB;;4390;0;4390;01/05/2020;2020-05-01;2020-05-15
saldo;15/05/2020;APL APLIC AUT MAIS;;-1087,47;0;-1087,47;01/05/2020;2020-05-01;2020-05-15
saldo;15/05/2020;SALDO APLIC AUT MAIS;;1496,09;0;1496,09;01/05/2020;2020-05-01;2020-05-15
saque;18/05/2020;CXE 001628 SAQUE 17/05;6855;-100;100;0;01/05/2020;2020-05-01;2020-05-18
padaria;18/05/2020;ELECTRONARIZONA PAE;9212;-38,15;38.15;0;01/05/2020;2020-05-01;2020-05-18
farmacia;18/05/2020;ELECTRONDROGARIA PR;9212;-21,49;21.49;0;01/05/2020;2020-05-01;2020-05-18
compras;18/05/2020;ELECTRONEDIVALDO PE;9212;-10;10;0;01/05/2020;2020-05-01;2020-05-18
alimentação;18/05/2020;ELECTRONFRANGOS E V;9212;-17,8;17.8;0;01/05/2020;2020-05-01;2020-05-18
feira;18/05/2020;ELECTRONJ E VERDURA;9212;-6;6;0;01/05/2020;2020-05-01;2020-05-18
compras;18/05/2020;ELECTRONMARIA LUCIA;9212;-10;10;0;01/05/2020;2020-05-01;2020-05-18
compras;18/05/2020;ELECTRONPAG*diegoej;9212;-5;5;0;01/05/2020;2020-05-01;2020-05-18
compras;18/05/2020;ELECTRONPAG*Antonio;9212;-4;4;0;01/05/2020;2020-05-01;2020-05-18
compras;18/05/2020;ELECTRONPAG*Severin;9212;-10;10;0;01/05/2020;2020-05-01;2020-05-18
compras;18/05/2020;ELECTRONS KOMESU MA;9212;-6,75;6.75;0;01/05/2020;2020-05-01;2020-05-18
mercado;18/05/2020;ELECTRONSONDA JACAN;9212;-8,78;8.78;0;01/05/2020;2020-05-01;2020-05-18
banco;18/05/2020;RES APLIC AUT MAIS;;237,97;0;237,97;01/05/2020;2020-05-01;2020-05-18
saldo;18/05/2020;SALDO APLIC AUT MAIS;;1258,12;0;1258,12;01/05/2020;2020-05-01;2020-05-18
padaria;19/05/2020;ELECTRONARIZONA PAE;9212;-22,06;22.06;0;01/05/2020;2020-05-01;2020-05-19
gasolina;19/05/2020;ELECTRONAUTO POSTO;9212;-50;50;0;01/05/2020;2020-05-01;2020-05-19
compras;19/05/2020;ELECTRONBANCA DUDUC;9212;-15,9;15.9;0;01/05/2020;2020-05-01;2020-05-19
compras;19/05/2020;ELECTRONBANCA DUDUC;9212;-28;28;0;01/05/2020;2020-05-01;2020-05-19
compras;19/05/2020;ELECTRONBOM FILET;9212;-39,26;39.26;0;01/05/2020;2020-05-01;2020-05-19
banco;19/05/2020;RES APLIC AUT MAIS;;155,22;0;155,22;01/05/2020;2020-05-01;2020-05-19
saldo;19/05/2020;SALDO APLIC AUT MAIS;;1102,9;0;1102,9;01/05/2020;2020-05-01;2020-05-19
mercado;20/05/2020;ELECTRONANDORINHA H;9212;-335,36;335.36;0;01/05/2020;2020-05-01;2020-05-20
mercado;20/05/2020;ELECTRONANDORINHA H;9212;-57,73;57.73;0;01/05/2020;2020-05-01;2020-05-20
banco;20/05/2020;RES APLIC AUT MAIS;;393,09;0;393,09;01/05/2020;2020-05-01;2020-05-20
saldo;20/05/2020;SALDO APLIC AUT MAIS;;709,81;0;709,81;01/05/2020;2020-05-01;2020-05-20
saldo;21/05/2020;SALDO APLIC AUT MAIS;;709,81;0;709,81;01/05/2020;2020-05-01;2020-05-21
compras;22/05/2020;ELECTRONROTA CANTAR;9212;-45;45;0;01/05/2020;2020-05-01;2020-05-22
seguro;22/05/2020;INT TED 237284600601853;4175;-198;198;0;01/05/2020;2020-05-01;2020-05-22
banco;22/05/2020;RES APLIC AUT MAIS;;243;0;243;01/05/2020;2020-05-01;2020-05-22
saldo;22/05/2020;SALDO APLIC AUT MAIS;;466,81;0;466,81;01/05/2020;2020-05-01;2020-05-22
saque;25/05/2020;SAQUE 24H 08741753 24/05;5086;-100;100;0;01/05/2020;2020-05-01;2020-05-25
padaria;25/05/2020;ELECTRONARIZONA PAE;9212;-28,29;28.29;0;01/05/2020;2020-05-01;2020-05-25
padaria;25/05/2020;ELECTRONARIZONA PAE;9212;-9,19;9.19;0;01/05/2020;2020-05-01;2020-05-25
farmacia;25/05/2020;ELECTRONDROGARIA PR;9212;-70,96;70.96;0;01/05/2020;2020-05-01;2020-05-25
frango;25/05/2020;ELECTRONPAG*Frigott;9212;-23,5;23.5;0;01/05/2020;2020-05-01;2020-05-25
compras;25/05/2020;ELECTRONSTELO*Banca;9212;-16,5;16.5;0;01/05/2020;2020-05-01;2020-05-25
banco;25/05/2020;RES APLIC AUT MAIS;;248,44;0;248,44;01/05/2020;2020-05-01;2020-05-25
saldo;25/05/2020;SALDO APLIC AUT MAIS;;218,37;0;218,37;01/05/2020;2020-05-01;2020-05-25
saldo;26/05/2020;SALDO APLIC AUT MAIS;;218,37;0;218,37;01/05/2020;2020-05-01;2020-05-26
saldo;27/05/2020;SALDO APLIC AUT MAIS;;218,37;0;218,37;01/05/2020;2020-05-01;2020-05-27
padaria;28/05/2020;ELECTRONARIZONA PAE;9212;-20,7;20.7;0;01/05/2020;2020-05-01;2020-05-28
farmacia;28/05/2020;ELECTRONDROGARIA PR;9212;-43,44;43.44;0;01/05/2020;2020-05-01;2020-05-28
banco;28/05/2020;RES APLIC AUT MAIS;;64,14;0;64,14;01/05/2020;2020-05-01;2020-05-28
saldo;28/05/2020;SALDO APLIC AUT MAIS;;154,23;0;154,23;01/05/2020;2020-05-01;2020-05-28
alimentação;29/05/2020;ELECTRONADEGA DO AL;9212;-10;10;0;01/05/2020;2020-05-01;2020-05-29
padaria;29/05/2020;ELECTRONARIZONA PAE;9212;-80,13;80.13;0;01/05/2020;2020-05-01;2020-05-29
alimentação;29/05/2020;ELECTRONDEPOSITO DO;9212;-31,05;31.05;0;01/05/2020;2020-05-01;2020-05-29
saldo;29/05/2020;SALDO PARCIAL;;-111,18;0;0;01/05/2020;2020-05-01;2020-05-29
saldo;29/05/2020;SALDO ANTERIOR;;-111,18;0;0;01/05/2020;2020-05-01;2020-05-29
compras;29/05/2020;ELECTRONFERNANDA GO;9212;-30;30;0;01/05/2020;2020-05-01;2020-05-29
compras;29/05/2020;ELECTRONO REI 1;9212;-11,9;11.9;0;01/05/2020;2020-05-01;2020-05-29
compras;29/05/2020;ELECTRONPAG*hprospe;9212;-40;40;0;01/05/2020;2020-05-01;2020-05-29
banco;29/05/2020;RES APLIC AUT MAIS;;154,23;0;154,23;01/05/2020;2020-05-01;2020-05-29
saldo;29/05/2020;SALDO FINAL;;-38,85;0;0;01/05/2020;2020-05-01;2020-05-29
saldo;29/05/2020;SALDO ANTERIOR;;-38,85;0;0;01/06/2020;2020-06-01;2020-05-29
farmacia;01/06/2020;ELECTRONDROGARIA SA;9212;-3,79;3.79;0;01/06/2020;2020-06-01;2020-06-01
compras;01/06/2020;ELECTRONEURIPEDES D;9212;-5;5;0;01/06/2020;2020-06-01;2020-06-01
feira;01/06/2020;ELECTRONFEIRANTE;9212;-10;10;0;01/06/2020;2020-06-01;2020-06-01
compras;01/06/2020;ELECTRONMARTINS & R;9212;-32;32;0;01/06/2020;2020-06-01;2020-06-01
compras;01/06/2020;ELECTRONPAG*galasso;9212;-5;5;0;01/06/2020;2020-06-01;2020-06-01
compras;01/06/2020;ELECTRONPAG*Geraldo;9212;-3;3;0;01/06/2020;2020-06-01;2020-06-01
compras;01/06/2020;ELECTRONPAG*PerfecS;9212;-8;8;0;01/06/2020;2020-06-01;2020-06-01
compras;01/06/2020;ELECTRONPAG*RafaelF;9212;-4;4;0;01/06/2020;2020-06-01;2020-06-01
mercado;01/06/2020;ELECTRONSONDA JACAN;9212;-86,19;86.19;0;01/06/2020;2020-06-01;2020-06-01
saldo;01/06/2020;SALDO DO DIA;;-195,83;0;0;01/06/2020;2020-06-01;2020-06-01
padaria;02/06/2020;ELECTRONARIZONA PAE;9212;-12,71;12.71;0;01/06/2020;2020-06-01;2020-06-02
banco;02/06/2020;TAR PACOTE ITAU   MAI/20;9293;-76,9;76.9;0;01/06/2020;2020-06-01;2020-06-02
saldo;02/06/2020;SALDO DO DIA;;-285,44;0;0;01/06/2020;2020-06-01;2020-06-02
alimentação;03/06/2020;ELECTRONADEGA DO AL;9212;-12;12;0;01/06/2020;2020-06-01;2020-06-03
mercado;03/06/2020;ELECTRONASSAI ATACA;9212;-23,65;23.65;0;01/06/2020;2020-06-01;2020-06-03
farmacia;03/06/2020;ELECTRONDROGARIA PR;9212;-25,23;25.23;0;01/06/2020;2020-06-01;2020-06-03
saldo;03/06/2020;SALDO DO DIA;;-346,32;0;0;01/06/2020;2020-06-01;2020-06-03
padaria;05/06/2020;ELECTRONARIZONA PAE;9212;-40,14;40.14;0;01/06/2020;2020-06-01;2020-06-05
compras;05/06/2020;ELECTRONB LA MILETT;9212;-36,29;36.29;0;01/06/2020;2020-06-01;2020-06-05
farmacia;05/06/2020;ELECTRONDROGARIA PR;9212;-8,37;8.37;0;01/06/2020;2020-06-01;2020-06-05
saldo;05/06/2020;SALDO DO DIA;;-431,12;0;0;01/06/2020;2020-06-01;2020-06-05
saque;08/06/2020;SAQUE 24H 14645709 07/06;5086;-100;100;0;01/06/2020;2020-06-01;2020-06-08
padaria;08/06/2020;ELECTRONARIZONA PAE;9212;-7,18;7.18;0;01/06/2020;2020-06-01;2020-06-08
mercado;08/06/2020;ELECTRONATACADAO DA;9212;-77,74;77.74;0;01/06/2020;2020-06-01;2020-06-08
compras;08/06/2020;ELECTRONDICICO TREM;9212;-10,9;10.9;0;01/06/2020;2020-06-01;2020-06-08
almoço;08/06/2020;ELECTRONDONAJU;9212;-55;55;0;01/06/2020;2020-06-01;2020-06-08
farmacia;08/06/2020;ELECTRONDROGARIA SA;9212;-113,66;113.66;0;01/06/2020;2020-06-01;2020-06-08
mercado;08/06/2020;ELECTRONOURINHOS SU;9212;-126,92;126.92;0;01/06/2020;2020-06-01;2020-06-08
compras;08/06/2020;ELECTRONPAG*galasso;9212;-10;10;0;01/06/2020;2020-06-01;2020-06-08
alimentação;08/06/2020;ELECTRONPIZZA DELIG;9212;-21,8;21.8;0;01/06/2020;2020-06-01;2020-06-08
compras;08/06/2020;ELECTRONR M SHIMABU;9212;-18,99;18.99;0;01/06/2020;2020-06-01;2020-06-08
compras;08/06/2020;ELECTRONR M SHIMABU;9212;-24,23;24.23;0;01/06/2020;2020-06-01;2020-06-08
compras;08/06/2020;ELECTRONR M SHIMABU;9212;-1,99;1.99;0;01/06/2020;2020-06-01;2020-06-08
mercado;08/06/2020;ELECTRONSONDA TREME;9212;-79,21;79.21;0;01/06/2020;2020-06-01;2020-06-08
saldo;08/06/2020;SALDO DO DIA;;-1078,74;0;0;01/06/2020;2020-06-01;2020-06-08
celular;10/06/2020;INT NEXTEL 9299999721677;4175;-60;60;0;01/06/2020;2020-06-01;2020-06-10
celular;10/06/2020;INT NEXTEL 9999999721700;4175;-90;90;0;01/06/2020;2020-06-01;2020-06-10
compras;10/06/2020;ELECTRONFURACAO DA;9212;-50;50;0;01/06/2020;2020-06-01;2020-06-10
mercado;10/06/2020;ELECTRONOURINHOS SU;9212;-78,52;78.52;0;01/06/2020;2020-06-01;2020-06-10
compras;10/06/2020;ELECTRONR M SHIMABU;9212;-18,99;18.99;0;01/06/2020;2020-06-01;2020-06-10
banco;10/06/2020;SEGURO CARTAO;9293;-6,61;6.61;0;01/06/2020;2020-06-01;2020-06-10
saldo;10/06/2020;SALDO DO DIA;;-1382,86;0;0;01/06/2020;2020-06-01;2020-06-10
boleto;12/06/2020;INT  PAG TIT BANCO 033;4175;-176,6;176.6;0;01/06/2020;2020-06-01;2020-06-12
boleto;12/06/2020;INT  PAG TIT BANCO 237;4175;-803,04;803.04;0;01/06/2020;2020-06-01;2020-06-12
alimentação;12/06/2020;ELECTRONDEPOSITO DO;9212;-51,95;51.95;0;01/06/2020;2020-06-01;2020-06-12
compras;12/06/2020;ELECTRONFOTOMANIA;9212;-20;20;0;01/06/2020;2020-06-01;2020-06-12
compras;12/06/2020;ELECTRONJOSEFA MARL;9212;-10;10;0;01/06/2020;2020-06-01;2020-06-12
compras;12/06/2020;ELECTRONLOJA PROGRE;9212;-29,97;29.97;0;01/06/2020;2020-06-01;2020-06-12
compras;12/06/2020;ELECTRONMUNDIAL CAL;9212;-39,99;39.99;0;01/06/2020;2020-06-01;2020-06-12
compras;12/06/2020;ELECTRONO REI 1;9212;-26,08;26.08;0;01/06/2020;2020-06-01;2020-06-12
doação;12/06/2020;DEB AUTOR UNICEF;9293;-75;75;0;01/06/2020;2020-06-01;2020-06-12
saldo;12/06/2020;SALDO DO DIA;;-2615,49;0;0;01/06/2020;2020-06-01;2020-06-12
saque;15/06/2020;SAQUE 24H 11143138 14/06;5086;-100;100;0;01/06/2020;2020-06-01;2020-06-15
padaria;15/06/2020;ELECTRONARIZONA PAE;9212;-11,53;11.53;0;01/06/2020;2020-06-01;2020-06-15
padaria;15/06/2020;ELECTRONARIZONA PAE;9212;-23,48;23.48;0;01/06/2020;2020-06-01;2020-06-15
farmacia;15/06/2020;ELECTRONDROGARIA PR;9212;-43,98;43.98;0;01/06/2020;2020-06-01;2020-06-15
compras;15/06/2020;ELECTRONDV3;9212;-194;194;0;01/06/2020;2020-06-01;2020-06-15
compras;15/06/2020;ELECTRONRUMO LESTE;9212;-24,04;24.04;0;01/06/2020;2020-06-01;2020-06-15
mercado;15/06/2020;ELECTRONSONDA TREME;9212;-60,47;60.47;0;01/06/2020;2020-06-01;2020-06-15
compras;15/06/2020;ELECTRONSTELO S A *;9212;-15;15;0;01/06/2020;2020-06-01;2020-06-15
cartão credito;15/06/2020;INT ITAUCARD;4175;-4992,46;4992.46;0;01/06/2020;2020-06-01;2020-06-15
resgate;15/06/2020;TBI 9293.22915-0/500;4175;5000;0;5000;01/06/2020;2020-06-01;2020-06-15
salario;15/06/2020;TED 237.2846ANDRE N BARB;;4799,86;0;4799,86;01/06/2020;2020-06-01;2020-06-15
saldo;15/06/2020;SDO CTA/APL AUTOMATICAS;;1719,41;0;0;01/06/2020;2020-06-01;2020-06-15
gasolina;16/06/2020;ELECTRONAUTO POSTO;9212;-29,9;29.9;0;01/06/2020;2020-06-01;2020-06-16
alimentação;16/06/2020;ELECTRONPIZZA DELIG;9212;-15,6;15.6;0;01/06/2020;2020-06-01;2020-06-16
saldo;16/06/2020;SDO CTA/APL AUTOMATICAS;;1673,91;0;0;01/06/2020;2020-06-01;2020-06-16
mercado;17/06/2020;ELECTRONANDORINHA H;9212;-262,04;262.04;0;01/06/2020;2020-06-01;2020-06-17
padaria;17/06/2020;ELECTRONARIZONA PAE;9212;-21,5;21.5;0;01/06/2020;2020-06-01;2020-06-17
saldo;17/06/2020;SDO CTA/APL AUTOMATICAS;;1390,37;0;0;01/06/2020;2020-06-01;2020-06-17
farmacia;18/06/2020;ELECTRONDROGARIA PR;9212;-38,98;38.98;0;01/06/2020;2020-06-01;2020-06-18
saldo;18/06/2020;SDO CTA/APL AUTOMATICAS;;1351,39;0;0;01/06/2020;2020-06-01;2020-06-18
compras;19/06/2020;ELECTRONAGUA FRIA P;9212;-39,9;39.9;0;01/06/2020;2020-06-01;2020-06-19
Pç carro;19/06/2020;ELECTRONMERCADOCAR;9212;-31,61;31.61;0;01/06/2020;2020-06-01;2020-06-19
compras;19/06/2020;ELECTRONSTELO S A *;9212;-25;25;0;01/06/2020;2020-06-01;2020-06-19
saldo;19/06/2020;SDO CTA/APL AUTOMATICAS;;1254,88;0;0;01/06/2020;2020-06-01;2020-06-19
boleto;22/06/2020;INT PAG TIT 176008796308;4175;-236,73;236.73;0;01/06/2020;2020-06-01;2020-06-22
saque;22/06/2020;SAQUE 24H 11661220 21/06;5086;-100;100;0;01/06/2020;2020-06-01;2020-06-22
padaria;22/06/2020;ELECTRONARIZONA PAE;9212;-13,32;13.32;0;01/06/2020;2020-06-01;2020-06-22
agua;22/06/2020;ELECTRONBD;9212;-10;10;0;01/06/2020;2020-06-01;2020-06-22
padaria;22/06/2020;ELECTRONPADARIA PAL;9212;-17,56;17.56;0;01/06/2020;2020-06-01;2020-06-22
compras;22/06/2020;ELECTRONVON BEBEER;9212;-57;57;0;01/06/2020;2020-06-01;2020-06-22
seguro;22/06/2020;INT TED 237284600601853;4175;-198;198;0;01/06/2020;2020-06-01;2020-06-22
saldo;22/06/2020;SDO CTA/APL AUTOMATICAS;;622,27;0;0;01/06/2020;2020-06-01;2020-06-22
padaria;23/06/2020;ELECTRONARIZONA PAE;9212;-16,59;16.59;0;01/06/2020;2020-06-01;2020-06-23
farmacia;23/06/2020;ELECTRONDROGARIA PR;9212;-28,31;28.31;0;01/06/2020;2020-06-01;2020-06-23
mercado;23/06/2020;ELECTRONOURINHOS SU;9212;-230,29;230.29;0;01/06/2020;2020-06-01;2020-06-23
saldo;23/06/2020;SDO CTA/APL AUTOMATICAS;;347,08;0;0;01/06/2020;2020-06-01;2020-06-23
padaria;24/06/2020;ELECTRONARIZONA PAE;9212;-4,55;4.55;0;01/06/2020;2020-06-01;2020-06-24
farmacia;24/06/2020;ELECTRONDROGARIA PR;9212;-19,9;19.9;0;01/06/2020;2020-06-01;2020-06-24
farmacia;24/06/2020;ELECTRONDROGARIA SA;9212;-225,53;225.53;0;01/06/2020;2020-06-01;2020-06-24
saldo;24/06/2020;SDO CTA/APL AUTOMATICAS;;97,1;0;0;01/06/2020;2020-06-01;2020-06-24
padaria;25/06/2020;ELECTRONARIZONA PAE;9212;-27,11;27.11;0;01/06/2020;2020-06-01;2020-06-25
compras;25/06/2020;ELECTRONDIB FERNAND;9212;-15;15;0;01/06/2020;2020-06-01;2020-06-25
compras;25/06/2020;ELECTRONMARELLAS CA;9212;-8;8;0;01/06/2020;2020-06-01;2020-06-25
alimentação;25/06/2020;ELECTRONMC DONALDS;9212;-35,8;35.8;0;01/06/2020;2020-06-01;2020-06-25
saldo;25/06/2020;SALDO DO DIA;;11,19;0;0;01/06/2020;2020-06-01;2020-06-25
padaria;26/06/2020;ELECTRONARIZONA PAE;9212;-20,58;20.58;0;01/06/2020;2020-06-01;2020-06-26
alimentação;26/06/2020;ELECTRONDEPOSITO DO;9212;-80,44;80.44;0;01/06/2020;2020-06-01;2020-06-26
compras;26/06/2020;ELECTRONJARDIM MODA;9212;-97;97;0;01/06/2020;2020-06-01;2020-06-26
farmacia;26/06/2020;ELECTRONRAIA 47;9212;-8,99;8.99;0;01/06/2020;2020-06-01;2020-06-26
saldo;26/06/2020;SALDO DO DIA;;-195,82;0;0;01/06/2020;2020-06-01;2020-06-26
boleto;29/06/2020;INT PAG TIT 109804018839;4175;-14,3;14.3;0;01/06/2020;2020-06-01;2020-06-29
boleto;29/06/2020;INT  PAG TIT BANCO 033;4175;-270;270;0;01/06/2020;2020-06-01;2020-06-29
boleto;29/06/2020;INT  PAG TIT BANCO 033;4175;-248,09;248.09;0;01/06/2020;2020-06-01;2020-06-29
saque;29/06/2020;SAQUE 24H 08799322 28/06;5086;-100;100;0;01/06/2020;2020-06-01;2020-06-29
divida;29/06/2020;INT NET SERV COMUNICAC 4;4175;-125,11;125.11;0;01/06/2020;2020-06-01;2020-06-29
divida;29/06/2020;INT NET SERV COMUNICAC 4;4175;-43,59;43.59;0;01/06/2020;2020-06-01;2020-06-29
divida;29/06/2020;INT NET SERV COMUNICAC 4;4175;-75,01;75.01;0;01/06/2020;2020-06-01;2020-06-29
mercado;29/06/2020;ELECTRONANDORINHA H;9212;-302,61;302.61;0;01/06/2020;2020-06-01;2020-06-29
compras;29/06/2020;ELECTRONDIA BRASIL;9212;-5,29;5.29;0;01/06/2020;2020-06-01;2020-06-29
mercado;29/06/2020;ELECTRONOURINHOS SU;9212;-23,8;23.8;0;01/06/2020;2020-06-01;2020-06-29
compras;29/06/2020;ELECTRONPAG*diegoej;9212;-3;3;0;01/06/2020;2020-06-01;2020-06-29
compras;29/06/2020;ELECTRONPAG*diegoej;9212;-8,3;8.3;0;01/06/2020;2020-06-01;2020-06-29
frango;29/06/2020;ELECTRONPAG*Frigott;9212;-22;22;0;01/06/2020;2020-06-01;2020-06-29
mercado;29/06/2020;ELECTRONSONDA TREME;9212;-48,28;48.28;0;01/06/2020;2020-06-01;2020-06-29
